GEO_ID,OBESITY_BRFSS_1995,NOTE
0400000US01,18.7,Alabama
0400000US02,19.8,Alaska
0400000US04,13.3,Arizona
0400000US05,17.5,Arkansas
0400000US06,15.1,California
0400000US08,10.1,Colorado
0400000US09,12.5,Connecticut
0400000US10,17.1,Delaware
0400000US11,,District of Columbia
0400000US12,17.2,Florida
0400000US13,13.3,Georgia
0400000US15,10.8,Hawaii
0400000US16,14.2,Idaho
0400000US17,16.7,Illinois
0400000US18,20.1,Indiana
0400000US19,17.5,Iowa
0400000US20,15.9,Kansas
0400000US21,16.9,Kentucky
0400000US22,17.7,Louisiana
0400000US23,14.1,Maine
0400000US24,16.3,Maryland
0400000US25,11.7,Massachusetts
0400000US26,18.2,Michigan
0400000US27,15.3,Minnesota
0400000US28,19.5,Mississippi
0400000US29,18.9,Missouri
0400000US30,13.4,Montana
0400000US31,16.3,Nebraska
0400000US32,13.3,Nevada
0400000US33,15.1,New Hampshire
0400000US34,14.5,New Jersey
0400000US35,13,New Mexico
0400000US36,13.9,New York
0400000US37,16.9,North Carolina
0400000US38,16.4,North Dakota
0400000US39,17.5,Ohio
0400000US40,13.5,Oklahoma
0400000US41,15.2,Oregon
0400000US42,16.4,Pennsylvania
0400000US72,,Puerto Rico
0400000US44,13.2,Rhode Island
0400000US45,16.7,South Carolina
0400000US46,13.9,South Dakota
0400000US47,18.4,Tennessee
0400000US48,15.9,Texas
0400000US49,,Utah
0400000US50,14.6,Vermont
0400000US51,15.7,Virginia
0400000US53,13.9,Washington
0400000US54,18.3,West Virginia
0400000US55,16,Wisconsin
0400000US56,14.3,Wyoming
